id,abbreviation,word
1,2moro,tomorrow
2,2nite,tonight
3,brb,be right back
4,btw,by the way
5,b4n,bye for now
6,bcnu,be seeing you
7,bff,best friends forever
8,cya,see you
9,dbeyr,don't believe everything you read
10,dilligas,do i look like i give a shit
11,fud,fear uncertainty and doubt
12,fwiw,for what it's worth
13,gr8,great
14,ily,i love you
15,imho,in myhumble opinion
16,irl,in real life
17,iso,in search of
18,j/k,just kidding
19,l8r,later
20,lmao,laughing my ass off
21,lol,laughing out loud
22,lylas,love you like a sister
23,mhoty,my hat's off to you
24,nimby,not in my backyard
25,np,no problem
26,nub,noob
27,oic,oh i see
28,omg,oh my god
29,ot,offtopic
30,pov,point of view
31,rbtl,read between the lines
32,rotflmao,rolling on the floor laughing my ass off
33,rt,realtime
34,thx,thanks
35,sh,shit happens
36,sitd,still in the dark
37,sol,shit out of luck
38,stby,sucks to be you
39,swak,sent with a kiss
40,tfh,thread from hell
41,rtm,read the manual
42,tlc,tender loving care
43,tmi,too much information
44,ttyl,talk to you later
45,tyvm,thank you very much
46,tx,thanks
47,thks,thanks
48,wtf,what the fuck
49,wywh,wish you were here
50,xoxo,hugs and kisses
51,rofl,rolling on the floor laughing
52,imo,in my opinion

